year,lgacode,highest_year_of_school_completed,indigenous_status,gender,number_of_people
2016,10050,did_not_go_to_school,indigenous,f,7
2016,10130,did_not_go_to_school,indigenous,f,4
2016,10250,did_not_go_to_school,indigenous,f,7
2016,10300,did_not_go_to_school,indigenous,f,0
2016,10470,did_not_go_to_school,indigenous,f,3
2016,10550,did_not_go_to_school,indigenous,f,3
2016,10600,did_not_go_to_school,indigenous,f,0
2016,10650,did_not_go_to_school,indigenous,f,0
2016,10750,did_not_go_to_school,indigenous,f,22
2016,10800,did_not_go_to_school,indigenous,f,0
2016,10850,did_not_go_to_school,indigenous,f,0
2016,10900,did_not_go_to_school,indigenous,f,5
2016,10950,did_not_go_to_school,indigenous,f,0
2016,11100,did_not_go_to_school,indigenous,f,0
2016,11150,did_not_go_to_school,indigenous,f,0
2016,11200,did_not_go_to_school,indigenous,f,4
2016,11250,did_not_go_to_school,indigenous,f,5
2016,11300,did_not_go_to_school,indigenous,f,0
2016,11350,did_not_go_to_school,indigenous,f,3
2016,11400,did_not_go_to_school,indigenous,f,0
2016,11450,did_not_go_to_school,indigenous,f,8
2016,11500,did_not_go_to_school,indigenous,f,4
2016,11520,did_not_go_to_school,indigenous,f,0
2016,11570,did_not_go_to_school,indigenous,f,7
2016,11600,did_not_go_to_school,indigenous,f,4
2016,11650,did_not_go_to_school,indigenous,f,18
2016,11700,did_not_go_to_school,indigenous,f,0
2016,11720,did_not_go_to_school,indigenous,f,5
2016,11730,did_not_go_to_school,indigenous,f,4
2016,11750,did_not_go_to_school,indigenous,f,0
2016,11800,did_not_go_to_school,indigenous,f,11
2016,12000,did_not_go_to_school,indigenous,f,0
2016,12150,did_not_go_to_school,indigenous,f,7
2016,12350,did_not_go_to_school,indigenous,f,0
2016,12380,did_not_go_to_school,indigenous,f,3
2016,12700,did_not_go_to_school,indigenous,f,0
2016,12730,did_not_go_to_school,indigenous,f,0
2016,12750,did_not_go_to_school,indigenous,f,5
2016,12850,did_not_go_to_school,indigenous,f,3
2016,12870,did_not_go_to_school,indigenous,f,0
2016,12900,did_not_go_to_school,indigenous,f,0
2016,12930,did_not_go_to_school,indigenous,f,4
2016,12950,did_not_go_to_school,indigenous,f,0
2016,13010,did_not_go_to_school,indigenous,f,0
2016,13310,did_not_go_to_school,indigenous,f,3
2016,13340,did_not_go_to_school,indigenous,f,0
2016,13450,did_not_go_to_school,indigenous,f,3
2016,13510,did_not_go_to_school,indigenous,f,0
2016,13550,did_not_go_to_school,indigenous,f,3
2016,13660,did_not_go_to_school,indigenous,f,0
2016,13800,did_not_go_to_school,indigenous,f,5
2016,13850,did_not_go_to_school,indigenous,f,0
2016,13910,did_not_go_to_school,indigenous,f,4
2016,14000,did_not_go_to_school,indigenous,f,0
2016,14100,did_not_go_to_school,indigenous,f,0
2016,14170,did_not_go_to_school,indigenous,f,6
2016,14200,did_not_go_to_school,indigenous,f,3
2016,14300,did_not_go_to_school,indigenous,f,3
2016,14350,did_not_go_to_school,indigenous,f,11
2016,14400,did_not_go_to_school,indigenous,f,0
2016,14500,did_not_go_to_school,indigenous,f,0
2016,14550,did_not_go_to_school,indigenous,f,0
2016,14600,did_not_go_to_school,indigenous,f,5
2016,14650,did_not_go_to_school,indigenous,f,13
2016,14700,did_not_go_to_school,indigenous,f,0
2016,14750,did_not_go_to_school,indigenous,f,0
2016,14850,did_not_go_to_school,indigenous,f,3
2016,14870,did_not_go_to_school,indigenous,f,0
2016,14900,did_not_go_to_school,indigenous,f,3
2016,14920,did_not_go_to_school,indigenous,f,3
2016,14950,did_not_go_to_school,indigenous,f,0
2016,15050,did_not_go_to_school,indigenous,f,3
2016,15240,did_not_go_to_school,indigenous,f,12
2016,15270,did_not_go_to_school,indigenous,f,3
2016,15300,did_not_go_to_school,indigenous,f,11
2016,15350,did_not_go_to_school,indigenous,f,0
2016,15520,did_not_go_to_school,indigenous,f,3
2016,15560,did_not_go_to_school,indigenous,f,0
2016,15650,did_not_go_to_school,indigenous,f,3
2016,15700,did_not_go_to_school,indigenous,f,3
2016,15750,did_not_go_to_school,indigenous,f,0
2016,15800,did_not_go_to_school,indigenous,f,0
2016,15850,did_not_go_to_school,indigenous,f,0
2016,15900,did_not_go_to_school,indigenous,f,9
2016,15950,did_not_go_to_school,indigenous,f,3
2016,15990,did_not_go_to_school,indigenous,f,3
2016,16100,did_not_go_to_school,indigenous,f,0
2016,16150,did_not_go_to_school,indigenous,f,4
2016,16200,did_not_go_to_school,indigenous,f,0
2016,16260,did_not_go_to_school,indigenous,f,6
2016,16350,did_not_go_to_school,indigenous,f,9
2016,16380,did_not_go_to_school,indigenous,f,4
2016,16400,did_not_go_to_school,indigenous,f,3
2016,16490,did_not_go_to_school,indigenous,f,0
2016,16550,did_not_go_to_school,indigenous,f,8
2016,16610,did_not_go_to_school,indigenous,f,0
2016,16650,did_not_go_to_school,indigenous,f,0
2016,16700,did_not_go_to_school,indigenous,f,0
2016,16900,did_not_go_to_school,indigenous,f,5
2016,16950,did_not_go_to_school,indigenous,f,11
2016,17000,did_not_go_to_school,indigenous,f,5
2016,17040,did_not_go_to_school,indigenous,f,0
2016,17080,did_not_go_to_school,indigenous,f,0
2016,17100,did_not_go_to_school,indigenous,f,0
2016,17150,did_not_go_to_school,indigenous,f,3
2016,17200,did_not_go_to_school,indigenous,f,7
2016,17310,did_not_go_to_school,indigenous,f,12
2016,17350,did_not_go_to_school,indigenous,f,0
2016,17400,did_not_go_to_school,indigenous,f,0
2016,17420,did_not_go_to_school,indigenous,f,3
2016,17550,did_not_go_to_school,indigenous,f,0
2016,17620,did_not_go_to_school,indigenous,f,0
2016,17640,did_not_go_to_school,indigenous,f,0
2016,17650,did_not_go_to_school,indigenous,f,4
2016,17750,did_not_go_to_school,indigenous,f,7
2016,17850,did_not_go_to_school,indigenous,f,0
2016,17900,did_not_go_to_school,indigenous,f,13
2016,17950,did_not_go_to_school,indigenous,f,0
2016,18020,did_not_go_to_school,indigenous,f,0
2016,18050,did_not_go_to_school,indigenous,f,0
2016,18100,did_not_go_to_school,indigenous,f,0
2016,18200,did_not_go_to_school,indigenous,f,4
2016,18230,did_not_go_to_school,indigenous,f,18
2016,18250,did_not_go_to_school,indigenous,f,0
2016,18350,did_not_go_to_school,indigenous,f,0
2016,18400,did_not_go_to_school,indigenous,f,0
2016,18450,did_not_go_to_school,indigenous,f,6
2016,18500,did_not_go_to_school,indigenous,f,0
2016,18710,did_not_go_to_school,indigenous,f,0
2016,19399,did_not_go_to_school,indigenous,f,0
2016,19499,did_not_go_to_school,indigenous,f,0
2016,19799,did_not_go_to_school,indigenous,f,0
2016,20110,did_not_go_to_school,indigenous,f,0
2016,20260,did_not_go_to_school,indigenous,f,0
2016,20570,did_not_go_to_school,indigenous,f,4
2016,20660,did_not_go_to_school,indigenous,f,0
2016,20740,did_not_go_to_school,indigenous,f,0
2016,20830,did_not_go_to_school,indigenous,f,3
2016,20910,did_not_go_to_school,indigenous,f,0
2016,21010,did_not_go_to_school,indigenous,f,0
2016,21110,did_not_go_to_school,indigenous,f,0
2016,21180,did_not_go_to_school,indigenous,f,3
2016,21270,did_not_go_to_school,indigenous,f,0
2016,21370,did_not_go_to_school,indigenous,f,3
2016,21450,did_not_go_to_school,indigenous,f,0
2016,21610,did_not_go_to_school,indigenous,f,3
2016,21670,did_not_go_to_school,indigenous,f,0
2016,21750,did_not_go_to_school,indigenous,f,0
2016,21830,did_not_go_to_school,indigenous,f,0
2016,21890,did_not_go_to_school,indigenous,f,4
2016,22110,did_not_go_to_school,indigenous,f,5
2016,22170,did_not_go_to_school,indigenous,f,6
2016,22250,did_not_go_to_school,indigenous,f,0
2016,22310,did_not_go_to_school,indigenous,f,0
2016,22410,did_not_go_to_school,indigenous,f,3
2016,22490,did_not_go_to_school,indigenous,f,0
2016,22620,did_not_go_to_school,indigenous,f,4
2016,22670,did_not_go_to_school,indigenous,f,0
2016,22750,did_not_go_to_school,indigenous,f,5
2016,22830,did_not_go_to_school,indigenous,f,7
2016,22910,did_not_go_to_school,indigenous,f,0
2016,22980,did_not_go_to_school,indigenous,f,0
2016,23110,did_not_go_to_school,indigenous,f,0
2016,23190,did_not_go_to_school,indigenous,f,0
2016,23270,did_not_go_to_school,indigenous,f,0
2016,23350,did_not_go_to_school,indigenous,f,0
2016,23430,did_not_go_to_school,indigenous,f,3
2016,23670,did_not_go_to_school,indigenous,f,4
2016,23810,did_not_go_to_school,indigenous,f,5
2016,23940,did_not_go_to_school,indigenous,f,0
2016,24130,did_not_go_to_school,indigenous,f,0
2016,24210,did_not_go_to_school,indigenous,f,0
2016,24250,did_not_go_to_school,indigenous,f,0
2016,24330,did_not_go_to_school,indigenous,f,0
2016,24410,did_not_go_to_school,indigenous,f,0
2016,24600,did_not_go_to_school,indigenous,f,7
2016,24650,did_not_go_to_school,indigenous,f,0
2016,24780,did_not_go_to_school,indigenous,f,4
2016,24850,did_not_go_to_school,indigenous,f,0
2016,24900,did_not_go_to_school,indigenous,f,0
2016,24970,did_not_go_to_school,indigenous,f,0
2016,25060,did_not_go_to_school,indigenous,f,0
2016,25150,did_not_go_to_school,indigenous,f,0
2016,25250,did_not_go_to_school,indigenous,f,0
2016,25340,did_not_go_to_school,indigenous,f,3
2016,25430,did_not_go_to_school,indigenous,f,0
2016,25490,did_not_go_to_school,indigenous,f,0
2016,25620,did_not_go_to_school,indigenous,f,0
2016,25710,did_not_go_to_school,indigenous,f,0
2016,25810,did_not_go_to_school,indigenous,f,0
2016,25900,did_not_go_to_school,indigenous,f,3
2016,25990,did_not_go_to_school,indigenous,f,0
2016,26080,did_not_go_to_school,indigenous,f,0
2016,26170,did_not_go_to_school,indigenous,f,0
2016,26260,did_not_go_to_school,indigenous,f,0
2016,26350,did_not_go_to_school,indigenous,f,0
2016,26430,did_not_go_to_school,indigenous,f,0
2016,26490,did_not_go_to_school,indigenous,f,0
2016,26610,did_not_go_to_school,indigenous,f,3
2016,26670,did_not_go_to_school,indigenous,f,0
2016,26700,did_not_go_to_school,indigenous,f,0
2016,26730,did_not_go_to_school,indigenous,f,8
2016,26810,did_not_go_to_school,indigenous,f,0
2016,26890,did_not_go_to_school,indigenous,f,0
2016,26980,did_not_go_to_school,indigenous,f,7
2016,27070,did_not_go_to_school,indigenous,f,4
2016,27170,did_not_go_to_school,indigenous,f,5
2016,27260,did_not_go_to_school,indigenous,f,3
2016,27350,did_not_go_to_school,indigenous,f,4
2016,27450,did_not_go_to_school,indigenous,f,0
2016,27630,did_not_go_to_school,indigenous,f,0
2016,29399,did_not_go_to_school,indigenous,f,0
2016,29499,did_not_go_to_school,indigenous,f,3
2016,29799,did_not_go_to_school,indigenous,f,0
2016,30250,did_not_go_to_school,indigenous,f,3
2016,30300,did_not_go_to_school,indigenous,f,0
2016,30370,did_not_go_to_school,indigenous,f,0
2016,30410,did_not_go_to_school,indigenous,f,0
2016,30450,did_not_go_to_school,indigenous,f,0
2016,30760,did_not_go_to_school,indigenous,f,0
2016,30900,did_not_go_to_school,indigenous,f,0
2016,31000,did_not_go_to_school,indigenous,f,40
2016,31750,did_not_go_to_school,indigenous,f,0
2016,31820,did_not_go_to_school,indigenous,f,3
2016,31900,did_not_go_to_school,indigenous,f,0
2016,31950,did_not_go_to_school,indigenous,f,0
2016,32080,did_not_go_to_school,indigenous,f,45
2016,32250,did_not_go_to_school,indigenous,f,6
2016,32260,did_not_go_to_school,indigenous,f,8
2016,32270,did_not_go_to_school,indigenous,f,4
2016,32310,did_not_go_to_school,indigenous,f,3
2016,32330,did_not_go_to_school,indigenous,f,12
2016,32450,did_not_go_to_school,indigenous,f,6
2016,32500,did_not_go_to_school,indigenous,f,0
2016,32600,did_not_go_to_school,indigenous,f,0
2016,32750,did_not_go_to_school,indigenous,f,0
2016,32770,did_not_go_to_school,indigenous,f,3
2016,32810,did_not_go_to_school,indigenous,f,0
2016,33100,did_not_go_to_school,indigenous,f,0
2016,33200,did_not_go_to_school,indigenous,f,0
2016,33220,did_not_go_to_school,indigenous,f,8
2016,33360,did_not_go_to_school,indigenous,f,0
2016,33430,did_not_go_to_school,indigenous,f,23
2016,33610,did_not_go_to_school,indigenous,f,4
2016,33620,did_not_go_to_school,indigenous,f,4
2016,33800,did_not_go_to_school,indigenous,f,3
2016,33830,did_not_go_to_school,indigenous,f,0
2016,33960,did_not_go_to_school,indigenous,f,17
2016,33980,did_not_go_to_school,indigenous,f,0
2016,34420,did_not_go_to_school,indigenous,f,4
2016,34530,did_not_go_to_school,indigenous,f,3
2016,34570,did_not_go_to_school,indigenous,f,10
2016,34580,did_not_go_to_school,indigenous,f,3
2016,34590,did_not_go_to_school,indigenous,f,21
2016,34710,did_not_go_to_school,indigenous,f,0
2016,34770,did_not_go_to_school,indigenous,f,17
2016,34800,did_not_go_to_school,indigenous,f,0
2016,34830,did_not_go_to_school,indigenous,f,0
2016,34860,did_not_go_to_school,indigenous,f,4
2016,34880,did_not_go_to_school,indigenous,f,12
2016,35010,did_not_go_to_school,indigenous,f,25
2016,35250,did_not_go_to_school,indigenous,f,7
2016,35300,did_not_go_to_school,indigenous,f,18
2016,35600,did_not_go_to_school,indigenous,f,0
2016,35670,did_not_go_to_school,indigenous,f,0
2016,35740,did_not_go_to_school,indigenous,f,0
2016,35760,did_not_go_to_school,indigenous,f,4
2016,35780,did_not_go_to_school,indigenous,f,0
2016,35790,did_not_go_to_school,indigenous,f,4
2016,35800,did_not_go_to_school,indigenous,f,3
2016,36070,did_not_go_to_school,indigenous,f,6
2016,36150,did_not_go_to_school,indigenous,f,0
2016,36250,did_not_go_to_school,indigenous,f,4
2016,36300,did_not_go_to_school,indigenous,f,0
2016,36370,did_not_go_to_school,indigenous,f,16
2016,36510,did_not_go_to_school,indigenous,f,0
2016,36580,did_not_go_to_school,indigenous,f,6
2016,36630,did_not_go_to_school,indigenous,f,4
2016,36660,did_not_go_to_school,indigenous,f,5
2016,36720,did_not_go_to_school,indigenous,f,11
2016,36820,did_not_go_to_school,indigenous,f,10
2016,36910,did_not_go_to_school,indigenous,f,17
2016,36950,did_not_go_to_school,indigenous,f,6
2016,36960,did_not_go_to_school,indigenous,f,9
2016,37010,did_not_go_to_school,indigenous,f,27
2016,37300,did_not_go_to_school,indigenous,f,6
2016,37310,did_not_go_to_school,indigenous,f,6
2016,37340,did_not_go_to_school,indigenous,f,3
2016,37400,did_not_go_to_school,indigenous,f,0
2016,37550,did_not_go_to_school,indigenous,f,0
2016,37570,did_not_go_to_school,indigenous,f,0
2016,37600,did_not_go_to_school,indigenous,f,7
2016,39499,did_not_go_to_school,indigenous,f,3
2016,39799,did_not_go_to_school,indigenous,f,0
2016,40070,did_not_go_to_school,indigenous,f,0
2016,40120,did_not_go_to_school,indigenous,f,0
2016,40220,did_not_go_to_school,indigenous,f,0
2016,40250,did_not_go_to_school,indigenous,f,27
2016,40310,did_not_go_to_school,indigenous,f,0
2016,40430,did_not_go_to_school,indigenous,f,0
2016,40520,did_not_go_to_school,indigenous,f,3
2016,40700,did_not_go_to_school,indigenous,f,0
2016,40910,did_not_go_to_school,indigenous,f,0
2016,41010,did_not_go_to_school,indigenous,f,0
2016,41060,did_not_go_to_school,indigenous,f,4
2016,41140,did_not_go_to_school,indigenous,f,0
2016,41190,did_not_go_to_school,indigenous,f,0
2016,41330,did_not_go_to_school,indigenous,f,12
2016,41560,did_not_go_to_school,indigenous,f,0
2016,41750,did_not_go_to_school,indigenous,f,0
2016,41830,did_not_go_to_school,indigenous,f,3
2016,41960,did_not_go_to_school,indigenous,f,0
2016,42030,did_not_go_to_school,indigenous,f,3
2016,42110,did_not_go_to_school,indigenous,f,0
2016,42250,did_not_go_to_school,indigenous,f,0
2016,42600,did_not_go_to_school,indigenous,f,3
2016,42750,did_not_go_to_school,indigenous,f,0
2016,43080,did_not_go_to_school,indigenous,f,0
2016,43220,did_not_go_to_school,indigenous,f,0
2016,43360,did_not_go_to_school,indigenous,f,0
2016,43650,did_not_go_to_school,indigenous,f,0
2016,43710,did_not_go_to_school,indigenous,f,0
2016,43790,did_not_go_to_school,indigenous,f,0
2016,43920,did_not_go_to_school,indigenous,f,0
2016,44000,did_not_go_to_school,indigenous,f,0
2016,44060,did_not_go_to_school,indigenous,f,0
2016,44210,did_not_go_to_school,indigenous,f,0
2016,44340,did_not_go_to_school,indigenous,f,0
2016,44550,did_not_go_to_school,indigenous,f,4
2016,44620,did_not_go_to_school,indigenous,f,0
2016,44830,did_not_go_to_school,indigenous,f,0
2016,45040,did_not_go_to_school,indigenous,f,0
2016,45090,did_not_go_to_school,indigenous,f,0
2016,45120,did_not_go_to_school,indigenous,f,0
2016,45290,did_not_go_to_school,indigenous,f,0
2016,45340,did_not_go_to_school,indigenous,f,4
2016,45400,did_not_go_to_school,indigenous,f,0
