year,lgacode,weekly_income_range,indigenous_status,number_of_household
2016,10050,1_149,indigenous,13
2016,10130,1_149,indigenous,6
2016,10250,1_149,indigenous,7
2016,10300,1_149,indigenous,0
2016,10470,1_149,indigenous,13
2016,10550,1_149,indigenous,8
2016,10600,1_149,indigenous,0
2016,10650,1_149,indigenous,0
2016,10750,1_149,indigenous,31
2016,10800,1_149,indigenous,0
2016,10850,1_149,indigenous,0
2016,10900,1_149,indigenous,3
2016,10950,1_149,indigenous,0
2016,11100,1_149,indigenous,0
2016,11150,1_149,indigenous,0
2016,11200,1_149,indigenous,7
2016,11250,1_149,indigenous,6
2016,11300,1_149,indigenous,0
2016,11350,1_149,indigenous,4
2016,11400,1_149,indigenous,0
2016,11450,1_149,indigenous,5
2016,11500,1_149,indigenous,25
2016,11520,1_149,indigenous,4
2016,11570,1_149,indigenous,7
2016,11600,1_149,indigenous,0
2016,11650,1_149,indigenous,32
2016,11700,1_149,indigenous,3
2016,11720,1_149,indigenous,9
2016,11730,1_149,indigenous,10
2016,11750,1_149,indigenous,3
2016,11800,1_149,indigenous,15
2016,12000,1_149,indigenous,0
2016,12150,1_149,indigenous,4
2016,12350,1_149,indigenous,6
2016,12380,1_149,indigenous,9
2016,12700,1_149,indigenous,0
2016,12730,1_149,indigenous,0
2016,12750,1_149,indigenous,15
2016,12850,1_149,indigenous,3
2016,12870,1_149,indigenous,3
2016,12900,1_149,indigenous,3
2016,12930,1_149,indigenous,4
2016,12950,1_149,indigenous,0
2016,13010,1_149,indigenous,3
2016,13310,1_149,indigenous,9
2016,13340,1_149,indigenous,4
2016,13450,1_149,indigenous,6
2016,13510,1_149,indigenous,0
2016,13550,1_149,indigenous,12
2016,13660,1_149,indigenous,3
2016,13800,1_149,indigenous,11
2016,13850,1_149,indigenous,3
2016,13910,1_149,indigenous,3
2016,14000,1_149,indigenous,0
2016,14100,1_149,indigenous,0
2016,14170,1_149,indigenous,15
2016,14200,1_149,indigenous,6
2016,14300,1_149,indigenous,0
2016,14350,1_149,indigenous,19
2016,14400,1_149,indigenous,0
2016,14500,1_149,indigenous,0
2016,14550,1_149,indigenous,3
2016,14600,1_149,indigenous,3
2016,14650,1_149,indigenous,40
2016,14700,1_149,indigenous,0
