year,lgacode,age_range,indigenous_status,gender,number_of_people
2016,10050,0_4,indigenous,f,80
2016,10130,0_4,indigenous,f,132
2016,10250,0_4,indigenous,f,72
2016,10300,0_4,indigenous,f,7
2016,10470,0_4,indigenous,f,128
2016,10550,0_4,indigenous,f,49
2016,10600,0_4,indigenous,f,32
2016,10650,0_4,indigenous,f,8
2016,10750,0_4,indigenous,f,555
2016,10800,0_4,indigenous,f,17
2016,10850,0_4,indigenous,f,17
2016,10900,0_4,indigenous,f,113
2016,10950,0_4,indigenous,f,39
2016,11100,0_4,indigenous,f,36
2016,11150,0_4,indigenous,f,40
2016,11200,0_4,indigenous,f,42
2016,11250,0_4,indigenous,f,81
2016,13910,0_4,indigenous,f,30
2016,14000,0_4,indigenous,f,23
2016,14100,0_4,indigenous,f,0
2016,14170,0_4,indigenous,f,99
2016,14200,0_4,indigenous,f,97
2016,14300,0_4,indigenous,f,20
2016,14350,0_4,indigenous,f,208
2016,14400,0_4,indigenous,f,15
2016,14500,0_4,indigenous,f,5
2016,14550,0_4,indigenous,f,13
2016,14600,0_4,indigenous,f,59
2016,14650,0_4,indigenous,f,437
2016,14700,0_4,indigenous,f,0
2016,14750,0_4,indigenous,f,45
2016,14850,0_4,indigenous,f,111
2016,14870,0_4,indigenous,f,58
2016,14900,0_4,indigenous,f,153
2016,14920,0_4,indigenous,f,45
2016,14950,0_4,indigenous,f,9
2016,15050,0_4,indigenous,f,266
2016,15240,0_4,indigenous,f,328
2016,15270,0_4,indigenous,f,81
2016,15300,0_4,indigenous,f,171
2016,15350,0_4,indigenous,f,4
2016,15520,0_4,indigenous,f,20
2016,15560,0_4,indigenous,f,11
2016,15650,0_4,indigenous,f,89
2016,15700,0_4,indigenous,f,81
2016,15750,0_4,indigenous,f,111
2016,15800,0_4,indigenous,f,28
2016,15850,0_4,indigenous,f,91
2016,15900,0_4,indigenous,f,283
2016,15950,0_4,indigenous,f,7
2016,15990,0_4,indigenous,f,52
2016,16100,0_4,indigenous,f,10
2016,16150,0_4,indigenous,f,154
2016,16200,0_4,indigenous,f,94
2016,16260,0_4,indigenous,f,64
2016,11500,0_4,indigenous,f,381
2016,11520,0_4,indigenous,f,15
2016,11300,0_4,indigenous,f,6
2016,11350,0_4,indigenous,f,31
2016,11400,0_4,indigenous,f,19
2016,11450,0_4,indigenous,f,100
2016,11570,0_4,indigenous,f,138
2016,11600,0_4,indigenous,f,10
