year,lgacode,disease,indigenous_status,gender,number_of_people
2021,10050,arthritis,indigenous,f,81
2021,10180,arthritis,indigenous,f,80
2021,10250,arthritis,indigenous,f,76
2021,10300,arthritis,indigenous,f,9
2021,10470,arthritis,indigenous,f,131
2021,10500,arthritis,indigenous,f,88
2021,10550,arthritis,indigenous,f,71
2021,10600,arthritis,indigenous,f,28
2021,10650,arthritis,indigenous,f,16
2021,10750,arthritis,indigenous,f,563
2021,10800,arthritis,indigenous,f,20
2021,10850,arthritis,indigenous,f,14
2021,10900,arthritis,indigenous,f,89
2021,10950,arthritis,indigenous,f,12
2021,11150,arthritis,indigenous,f,32
2021,11200,arthritis,indigenous,f,34
2021,11250,arthritis,indigenous,f,68
2021,11300,arthritis,indigenous,f,6
2021,11350,arthritis,indigenous,f,15
2021,11400,arthritis,indigenous,f,31
2021,11450,arthritis,indigenous,f,147
2021,11500,arthritis,indigenous,f,387
2021,11520,arthritis,indigenous,f,30
2021,11570,arthritis,indigenous,f,141
2021,11600,arthritis,indigenous,f,7
2021,11650,arthritis,indigenous,f,816
2021,11700,arthritis,indigenous,f,19
2021,11720,arthritis,indigenous,f,325
2021,11730,arthritis,indigenous,f,187
2021,11750,arthritis,indigenous,f,28
2021,11800,arthritis,indigenous,f,226
2021,12000,arthritis,indigenous,f,21
2021,12150,arthritis,indigenous,f,61
2021,12160,arthritis,indigenous,f,43
2021,12350,arthritis,indigenous,f,49
2021,12380,arthritis,indigenous,f,88
2021,12390,arthritis,indigenous,f,379
2021,12700,arthritis,indigenous,f,31
2021,12730,arthritis,indigenous,f,18
2021,12750,arthritis,indigenous,f,129
2021,12850,arthritis,indigenous,f,98
2021,12870,arthritis,indigenous,f,18
2021,12900,arthritis,indigenous,f,56
2021,12930,arthritis,indigenous,f,52
2021,12950,arthritis,indigenous,f,35
2021,13010,arthritis,indigenous,f,33
2021,13310,arthritis,indigenous,f,76
2021,13340,arthritis,indigenous,f,14
2021,13450,arthritis,indigenous,f,65
2021,13550,arthritis,indigenous,f,90
2021,13660,arthritis,indigenous,f,21
2021,13800,arthritis,indigenous,f,149
2021,13850,arthritis,indigenous,f,14
2021,13910,arthritis,indigenous,f,76
2021,14000,arthritis,indigenous,f,30
2021,14100,arthritis,indigenous,f,0
2021,14170,arthritis,indigenous,f,101
2021,14220,arthritis,indigenous,f,92
2021,14300,arthritis,indigenous,f,20
2021,14350,arthritis,indigenous,f,176
2021,14400,arthritis,indigenous,f,28
2021,14500,arthritis,indigenous,f,20
2021,14550,arthritis,indigenous,f,24
2021,14600,arthritis,indigenous,f,50
2021,14650,arthritis,indigenous,f,495
2021,14700,arthritis,indigenous,f,4
2021,14750,arthritis,indigenous,f,38
2021,14850,arthritis,indigenous,f,92
2021,14870,arthritis,indigenous,f,84
2021,14900,arthritis,indigenous,f,183
2021,14920,arthritis,indigenous,f,55
2021,14950,arthritis,indigenous,f,12
2021,15050,arthritis,indigenous,f,290
2021,15240,arthritis,indigenous,f,358
2021,15270,arthritis,indigenous,f,65
2021,15300,arthritis,indigenous,f,104
2021,15350,arthritis,indigenous,f,0
2021,15520,arthritis,indigenous,f,18
2021,15560,arthritis,indigenous,f,23
2021,15650,arthritis,indigenous,f,96
2021,15700,arthritis,indigenous,f,90
2021,15750,arthritis,indigenous,f,82
2021,15800,arthritis,indigenous,f,33
2021,15850,arthritis,indigenous,f,62
2021,15900,arthritis,indigenous,f,370
2021,15950,arthritis,indigenous,f,9
2021,15990,arthritis,indigenous,f,60
2021,16100,arthritis,indigenous,f,19
2021,16150,arthritis,indigenous,f,125
2021,16200,arthritis,indigenous,f,103
2021,16260,arthritis,indigenous,f,80
2021,16350,arthritis,indigenous,f,451
2021,16380,arthritis,indigenous,f,227
2021,16400,arthritis,indigenous,f,229
2021,16490,arthritis,indigenous,f,122
2021,16550,arthritis,indigenous,f,84
2021,16610,arthritis,indigenous,f,73
2021,16700,arthritis,indigenous,f,21
2021,16900,arthritis,indigenous,f,166
2021,16950,arthritis,indigenous,f,346
2021,17000,arthritis,indigenous,f,87
2021,17040,arthritis,indigenous,f,30
2021,17080,arthritis,indigenous,f,59
2021,17100,arthritis,indigenous,f,0
2021,17150,arthritis,indigenous,f,124
2021,17200,arthritis,indigenous,f,116
2021,17310,arthritis,indigenous,f,324
2021,17350,arthritis,indigenous,f,10
2021,17400,arthritis,indigenous,f,22
2021,17420,arthritis,indigenous,f,52
2021,17550,arthritis,indigenous,f,210
2021,17620,arthritis,indigenous,f,42
2021,17640,arthritis,indigenous,f,17
2021,17650,arthritis,indigenous,f,35
2021,17750,arthritis,indigenous,f,176
2021,17850,arthritis,indigenous,f,12
2021,17900,arthritis,indigenous,f,49
2021,17950,arthritis,indigenous,f,18
2021,18020,arthritis,indigenous,f,65
2021,18050,arthritis,indigenous,f,9
2021,18100,arthritis,indigenous,f,13
2021,18200,arthritis,indigenous,f,28
2021,18250,arthritis,indigenous,f,6
2021,18350,arthritis,indigenous,f,65
2021,18400,arthritis,indigenous,f,89
2021,18450,arthritis,indigenous,f,356
2021,18500,arthritis,indigenous,f,7
2021,18710,arthritis,indigenous,f,31
2021,19399,arthritis,indigenous,f,4
2021,19499,arthritis,indigenous,f,38
2021,19799,arthritis,indigenous,f,0
2021,20110,arthritis,indigenous,f,9
2021,20260,arthritis,indigenous,f,11
2021,20570,arthritis,indigenous,f,87
2021,20660,arthritis,indigenous,f,42
2021,20740,arthritis,indigenous,f,31
2021,20830,arthritis,indigenous,f,30
2021,20910,arthritis,indigenous,f,4
2021,21010,arthritis,indigenous,f,17
2021,21110,arthritis,indigenous,f,12
2021,21180,arthritis,indigenous,f,38
2021,21270,arthritis,indigenous,f,3
2021,21370,arthritis,indigenous,f,59
2021,21450,arthritis,indigenous,f,41
2021,21610,arthritis,indigenous,f,94
2021,21670,arthritis,indigenous,f,23
2021,21750,arthritis,indigenous,f,15
2021,21830,arthritis,indigenous,f,10
2021,21890,arthritis,indigenous,f,56
2021,22110,arthritis,indigenous,f,77
2021,22170,arthritis,indigenous,f,94
2021,22250,arthritis,indigenous,f,18
2021,22310,arthritis,indigenous,f,15
2021,22410,arthritis,indigenous,f,34
2021,22490,arthritis,indigenous,f,19
2021,22620,arthritis,indigenous,f,136
2021,22670,arthritis,indigenous,f,38
2021,22750,arthritis,indigenous,f,159
2021,22830,arthritis,indigenous,f,132
2021,22910,arthritis,indigenous,f,9
2021,22980,arthritis,indigenous,f,7
2021,23110,arthritis,indigenous,f,23
2021,23190,arthritis,indigenous,f,18
2021,23270,arthritis,indigenous,f,78
2021,23350,arthritis,indigenous,f,14
2021,23430,arthritis,indigenous,f,38
2021,23670,arthritis,indigenous,f,44
2021,23810,arthritis,indigenous,f,71
2021,23940,arthritis,indigenous,f,7
2021,24130,arthritis,indigenous,f,24
2021,24210,arthritis,indigenous,f,4
2021,24250,arthritis,indigenous,f,9
2021,24330,arthritis,indigenous,f,28
2021,24410,arthritis,indigenous,f,36
2021,24600,arthritis,indigenous,f,19
2021,24650,arthritis,indigenous,f,96
2021,24780,arthritis,indigenous,f,99
2021,24850,arthritis,indigenous,f,40
2021,24900,arthritis,indigenous,f,37
2021,24970,arthritis,indigenous,f,23
2021,25060,arthritis,indigenous,f,19
2021,25150,arthritis,indigenous,f,22
2021,25250,arthritis,indigenous,f,29
2021,25340,arthritis,indigenous,f,68
2021,25430,arthritis,indigenous,f,10
2021,25490,arthritis,indigenous,f,11
2021,25620,arthritis,indigenous,f,15
2021,25710,arthritis,indigenous,f,7
2021,25810,arthritis,indigenous,f,18
2021,25900,arthritis,indigenous,f,17
2021,25990,arthritis,indigenous,f,4
2021,26080,arthritis,indigenous,f,0
2021,26170,arthritis,indigenous,f,28
2021,26260,arthritis,indigenous,f,20
2021,26350,arthritis,indigenous,f,13
2021,26430,arthritis,indigenous,f,9
2021,26490,arthritis,indigenous,f,10
2021,26610,arthritis,indigenous,f,52
2021,26670,arthritis,indigenous,f,7
2021,26700,arthritis,indigenous,f,31
2021,26730,arthritis,indigenous,f,35
2021,26810,arthritis,indigenous,f,50
2021,26890,arthritis,indigenous,f,5
2021,26980,arthritis,indigenous,f,29
2021,27070,arthritis,indigenous,f,71
2021,27170,arthritis,indigenous,f,79
2021,27260,arthritis,indigenous,f,112
2021,27350,arthritis,indigenous,f,7
2021,27450,arthritis,indigenous,f,78
2021,27630,arthritis,indigenous,f,9
2021,29399,arthritis,indigenous,f,0
2021,29499,arthritis,indigenous,f,11
2021,29799,arthritis,indigenous,f,0
2021,30250,arthritis,indigenous,f,4
2021,30300,arthritis,indigenous,f,46
2021,30370,arthritis,indigenous,f,23
2021,30410,arthritis,indigenous,f,5
2021,30450,arthritis,indigenous,f,0
2021,30760,arthritis,indigenous,f,11
2021,30900,arthritis,indigenous,f,5
2021,31000,arthritis,indigenous,f,871
2021,31750,arthritis,indigenous,f,0
2021,31820,arthritis,indigenous,f,280
2021,31900,arthritis,indigenous,f,38
2021,31950,arthritis,indigenous,f,4
2021,32080,arthritis,indigenous,f,433
2021,32250,arthritis,indigenous,f,13
2021,32260,arthritis,indigenous,f,106
2021,32270,arthritis,indigenous,f,52
2021,32310,arthritis,indigenous,f,37
2021,32330,arthritis,indigenous,f,19
2021,32450,arthritis,indigenous,f,15
2021,32500,arthritis,indigenous,f,17
2021,32600,arthritis,indigenous,f,0
2021,32750,arthritis,indigenous,f,0
2021,32770,arthritis,indigenous,f,13
2021,32810,arthritis,indigenous,f,15
2021,33100,arthritis,indigenous,f,0
2021,33200,arthritis,indigenous,f,3
2021,33220,arthritis,indigenous,f,324
2021,33360,arthritis,indigenous,f,167
2021,33430,arthritis,indigenous,f,535
2021,33610,arthritis,indigenous,f,37
2021,33620,arthritis,indigenous,f,132
2021,33800,arthritis,indigenous,f,30
2021,33830,arthritis,indigenous,f,9
2021,33960,arthritis,indigenous,f,492
2021,33980,arthritis,indigenous,f,25
2021,34420,arthritis,indigenous,f,8
2021,34530,arthritis,indigenous,f,63
2021,34570,arthritis,indigenous,f,9
2021,34580,arthritis,indigenous,f,97
2021,34590,arthritis,indigenous,f,598
2021,34710,arthritis,indigenous,f,12
2021,34770,arthritis,indigenous,f,231
2021,34800,arthritis,indigenous,f,5
2021,34830,arthritis,indigenous,f,4
2021,34860,arthritis,indigenous,f,50
2021,34880,arthritis,indigenous,f,59
2021,35010,arthritis,indigenous,f,881
2021,35250,arthritis,indigenous,f,9
2021,35300,arthritis,indigenous,f,84
2021,35600,arthritis,indigenous,f,34
2021,35670,arthritis,indigenous,f,7
2021,35740,arthritis,indigenous,f,34
2021,35760,arthritis,indigenous,f,37
2021,35780,arthritis,indigenous,f,21
2021,35790,arthritis,indigenous,f,27
2021,35800,arthritis,indigenous,f,29
2021,36070,arthritis,indigenous,f,4
2021,36150,arthritis,indigenous,f,6
2021,36250,arthritis,indigenous,f,216
2021,36300,arthritis,indigenous,f,0
2021,36370,arthritis,indigenous,f,291
2021,36510,arthritis,indigenous,f,62
2021,36580,arthritis,indigenous,f,71
2021,36630,arthritis,indigenous,f,95
2021,36660,arthritis,indigenous,f,119
2021,36720,arthritis,indigenous,f,366
2021,36820,arthritis,indigenous,f,66
2021,36910,arthritis,indigenous,f,416
2021,36950,arthritis,indigenous,f,39
2021,36960,arthritis,indigenous,f,53
2021,37010,arthritis,indigenous,f,484
2021,37300,arthritis,indigenous,f,8
2021,37310,arthritis,indigenous,f,136
2021,37340,arthritis,indigenous,f,90
2021,37400,arthritis,indigenous,f,4
2021,37550,arthritis,indigenous,f,20
2021,37570,arthritis,indigenous,f,6
2021,37600,arthritis,indigenous,f,33
2021,39499,arthritis,indigenous,f,36
2021,39799,arthritis,indigenous,f,0
2021,40070,arthritis,indigenous,f,8
2021,40120,arthritis,indigenous,f,8
2021,40150,arthritis,indigenous,f,13
2021,40220,arthritis,indigenous,f,23
2021,40250,arthritis,indigenous,f,14
2021,40310,arthritis,indigenous,f,16
2021,40430,arthritis,indigenous,f,4
2021,40520,arthritis,indigenous,f,34
2021,40700,arthritis,indigenous,f,5
2021,40910,arthritis,indigenous,f,21
2021,41010,arthritis,indigenous,f,24
2021,41060,arthritis,indigenous,f,96
2021,41140,arthritis,indigenous,f,9
2021,41190,arthritis,indigenous,f,3
2021,41330,arthritis,indigenous,f,7
2021,41560,arthritis,indigenous,f,31
2021,41750,arthritis,indigenous,f,0
2021,41830,arthritis,indigenous,f,6
2021,41960,arthritis,indigenous,f,0
2021,42030,arthritis,indigenous,f,37
2021,42110,arthritis,indigenous,f,12
2021,42250,arthritis,indigenous,f,11
2021,42600,arthritis,indigenous,f,12
2021,42750,arthritis,indigenous,f,4
2021,43080,arthritis,indigenous,f,0
2021,43220,arthritis,indigenous,f,0
2021,43360,arthritis,indigenous,f,4
2021,43650,arthritis,indigenous,f,8
2021,43710,arthritis,indigenous,f,0
2021,43790,arthritis,indigenous,f,10
2021,44000,arthritis,indigenous,f,0
2021,44060,arthritis,indigenous,f,52
2021,44210,arthritis,indigenous,f,9
2021,44340,arthritis,indigenous,f,15
2021,44550,arthritis,indigenous,f,17
2021,44620,arthritis,indigenous,f,28
2021,44830,arthritis,indigenous,f,3
2021,45040,arthritis,indigenous,f,51
2021,45090,arthritis,indigenous,f,4
2021,45120,arthritis,indigenous,f,8
2021,45290,arthritis,indigenous,f,13
2021,45340,arthritis,indigenous,f,144
2021,45400,arthritis,indigenous,f,0
2021,45540,arthritis,indigenous,f,6
2021,45680,arthritis,indigenous,f,214
2021,45890,arthritis,indigenous,f,143
2021,46090,arthritis,indigenous,f,107
2021,46300,arthritis,indigenous,f,26
2021,46450,arthritis,indigenous,f,36
2021,46510,arthritis,indigenous,f,14
2021,46670,arthritis,indigenous,f,15
2021,46860,arthritis,indigenous,f,0
2021,46970,arthritis,indigenous,f,5
2021,47140,arthritis,indigenous,f,181
2021,47290,arthritis,indigenous,f,0
2021,47490,arthritis,indigenous,f,0
2021,47630,arthritis,indigenous,f,0
2021,47700,arthritis,indigenous,f,47
2021,47800,arthritis,indigenous,f,18
2021,47910,arthritis,indigenous,f,4
2021,47980,arthritis,indigenous,f,8
2021,48050,arthritis,indigenous,f,11
2021,48130,arthritis,indigenous,f,4
2021,48260,arthritis,indigenous,f,3
2021,48340,arthritis,indigenous,f,8
2021,48410,arthritis,indigenous,f,34
2021,48540,arthritis,indigenous,f,59
2021,48640,arthritis,indigenous,f,0
2021,48750,arthritis,indigenous,f,6
2021,48830,arthritis,indigenous,f,28
2021,49399,arthritis,indigenous,f,25
2021,49499,arthritis,indigenous,f,9
2021,49799,arthritis,indigenous,f,0
2021,50080,arthritis,indigenous,f,49
2021,50210,arthritis,indigenous,f,88
2021,50250,arthritis,indigenous,f,15
2021,50280,arthritis,indigenous,f,5
2021,50350,arthritis,indigenous,f,14
2021,50420,arthritis,indigenous,f,29
2021,50490,arthritis,indigenous,f,45
2021,50560,arthritis,indigenous,f,3
2021,50630,arthritis,indigenous,f,0
2021,50770,arthritis,indigenous,f,0
2021,50840,arthritis,indigenous,f,7
2021,50910,arthritis,indigenous,f,3
2021,50980,arthritis,indigenous,f,91
2021,51080,arthritis,indigenous,f,7
2021,51120,arthritis,indigenous,f,0
2021,51190,arthritis,indigenous,f,60
2021,51260,arthritis,indigenous,f,17
2021,51310,arthritis,indigenous,f,4
2021,51330,arthritis,indigenous,f,36
2021,51400,arthritis,indigenous,f,22
2021,51470,arthritis,indigenous,f,0
2021,51540,arthritis,indigenous,f,42
2021,51610,arthritis,indigenous,f,4
2021,51680,arthritis,indigenous,f,5
2021,51710,arthritis,indigenous,f,0
2021,51750,arthritis,indigenous,f,0
2021,51820,arthritis,indigenous,f,80
2021,51860,arthritis,indigenous,f,0
2021,51890,arthritis,indigenous,f,9
2021,51960,arthritis,indigenous,f,11
2021,52030,arthritis,indigenous,f,5
2021,52100,arthritis,indigenous,f,0
2021,52170,arthritis,indigenous,f,0
2021,52240,arthritis,indigenous,f,0
2021,52310,arthritis,indigenous,f,0
2021,52380,arthritis,indigenous,f,0
2021,52450,arthritis,indigenous,f,0
2021,52520,arthritis,indigenous,f,6
2021,52590,arthritis,indigenous,f,5
2021,52660,arthritis,indigenous,f,15
2021,52730,arthritis,indigenous,f,7
2021,52800,arthritis,indigenous,f,58
2021,52870,arthritis,indigenous,f,8
2021,52940,arthritis,indigenous,f,0
2021,53010,arthritis,indigenous,f,0
2021,53080,arthritis,indigenous,f,0
2021,53150,arthritis,indigenous,f,7
2021,53220,arthritis,indigenous,f,10
2021,53290,arthritis,indigenous,f,25
2021,53360,arthritis,indigenous,f,0
2021,53430,arthritis,indigenous,f,22
2021,53570,arthritis,indigenous,f,5
2021,53640,arthritis,indigenous,f,0
